color,h_min,h_max,s_min,s_max,v_min,v_max
red,0,10,100,255,100,255
red,160,180,100,255,100,255
orange,11,25,100,255,100,255
yellow,26,35,100,255,100,255
green,36,85,80,255,80,255
blue,86,130,80,255,80,255
purple,131,159,80,255,80,255
black,0,180,0,255,0,50
white,0,180,0,40,200,255
red1,0,3,100,255,100,255
red2,4,7,100,255,100,255
red3,8,10,100,255,100,255
red4,160,165,100,255,100,255
red5,166,170,100,255,100,255
red6,171,180,100,255,100,255

orange1,11,14,100,255,100,255
orange2,15,18,100,255,100,255
orange3,19,22,100,255,100,255
orange4,23,25,100,255,100,255

yellow1,26,28,100,255,100,255
yellow2,29,31,100,255,100,255
yellow3,32,35,100,255,100,255

lime1,36,40,80,255,80,255
lime2,41,45,80,255,80,255
lime3,46,50,80,255,80,255

green1,51,55,80,255,80,255
green2,56,60,80,255,80,255
green3,61,65,80,255,80,255
green4,66,70,80,255,80,255
green5,71,75,80,255,80,255
green6,76,85,80,255,80,255

cyan1,86,90,80,255,80,255
cyan2,91,95,80,255,80,255
cyan3,96,100,80,255,80,255
cyan4,101,105,80,255,80,255

blue1,106,110,80,255,80,255
blue2,111,115,80,255,80,255
blue3,116,120,80,255,80,255
blue4,121,125,80,255,80,255
blue5,126,130,80,255,80,255

purple1,131,135,80,255,80,255
purple2,136,140,80,255,80,255
purple3,141,145,80,255,80,255
purple4,146,150,80,255,80,255
purple5,151,155,80,255,80,255
purple6,156,159,80,255,80,255

pink1,160,163,50,255,150,255
pink2,164,167,50,255,150,255
pink3,168,171,50,255,150,255
pink4,172,175,50,255,150,255
pink5,176,180,50,255,150,255

brown1,10,20,100,255,50,150
brown2,21,30,100,255,50,150
brown3,31,40,100,255,50,150

black1,0,180,0,255,0,30
black2,0,180,0,255,31,50

gray1,0,180,0,40,51,100
gray2,0,180,0,40,101,150
gray3,0,180,0,40,151,199

white1,0,180,0,40,200,220
white2,0,180,0,40,221,255


red,0,10,120,255,120,255
dark_red,160,180,120,255,120,255
orange,11,20,120,255,120,255
amber,21,25,120,255,120,255
yellow,26,35,120,255,120,255
gold,36,40,120,255,150,255
lime,41,50,100,255,100,255
chartreuse,51,55,100,255,100,255
green,56,70,100,255,100,255
emerald,71,75,100,255,100,255
mint,76,80,60,200,150,255
teal,81,85,100,255,100,255
cyan,86,95,100,255,100,255
aqua,96,100,80,200,150,255
turquoise,101,105,80,255,100,255
sky_blue,106,110,80,255,150,255
blue,111,125,100,255,100,255
navy,126,130,100,255,50,150
royal_blue,131,135,100,255,100,255
indigo,136,140,100,255,80,200
violet,141,145,100,255,120,255
purple,146,150,100,255,100,255
lavender,151,155,50,150,150,255
magenta,156,160,100,255,120,255
pink,161,165,80,200,150,255
pink,145,170,60,150,180,255

hot_pink,166,170,100,255,150,255
rose,171,175,80,200,150,255
maroon,176,180,120,255,50,150

brown,10,20,100,255,50,150
chocolate,21,30,100,255,40,120
coffee,31,35,120,255,30,100
tan,36,45,60,200,150,255
beige,46,55,30,150,200,255
ivory,0,180,0,30,230,255
white,0,180,0,40,220,255
snow,0,180,0,20,240,255
silver,0,180,0,30,180,220
gray,0,180,0,40,120,180
dark_gray,0,180,0,40,50,120
black,0,180,0,255,0,40

olive,46,55,80,200,80,150
army_green,56,65,80,200,60,140
forest_green,66,75,120,255,50,120
sea_green,76,85,80,200,80,180

peach,11,20,50,200,200,255
coral,21,25,100,255,150,255
salmon,26,30,80,200,150,255

plum,141,150,80,200,80,150
orchid,151,160,80,200,150,255

steel_blue,111,120,50,150,100,200
slate_blue,121,130,50,150,80,160
midnight_blue,131,140,100,255,20,80

khaki,36,45,40,120,150,200
mustard,26,35,120,255,120,200
rust,10,15,120,255,80,150

cyan_green,86,95,80,200,80,200
blue_green,96,105,80,200,80,200

neon_green,56,70,200,255,200,255
neon_pink,161,170,200,255,200,255
neon_blue,111,125,200,255,200,255

red,0,10,120,255,120,255
dark_red,160,180,120,255,120,255
orange,11,20,120,255,120,255
amber,21,25,120,255,120,255
yellow,26,35,120,255,120,255
gold,36,40,120,255,150,255
lime,41,50,100,255,100,255
chartreuse,51,55,100,255,100,255
green,56,70,100,255,100,255
emerald,71,75,100,255,100,255
mint,76,80,60,200,150,255
teal,81,85,100,255,100,255
cyan,86,95,100,255,100,255
aqua,96,100,80,200,150,255
turquoise,101,105,80,255,100,255
sky_blue,106,110,80,255,150,255
blue,111,125,100,255,100,255
navy,126,130,100,255,50,150
royal_blue,131,135,100,255,100,255
indigo,136,140,100,255,80,200
violet,141,145,100,255,120,255
purple,146,150,100,255,100,255
lavender,151,155,50,150,150,255
magenta,156,160,100,255,120,255
pink,161,165,80,200,150,255
hot_pink,166,170,100,255,150,255
rose,171,175,80,200,150,255
maroon,176,180,120,255,50,150

brown,10,20,100,255,50,150
chocolate,21,30,100,255,40,120
coffee,31,35,120,255,30,100
tan,36,45,60,200,150,255
beige,46,55,30,150,200,255
ivory,0,180,0,30,230,255
white,0,180,0,40,220,255
snow,0,180,0,20,240,255
silver,0,180,0,30,180,220
gray,0,180,0,40,120,180
dark_gray,0,180,0,40,50,120
black,0,180,0,255,0,40

olive,46,55,80,200,80,150
army_green,56,65,80,200,60,140
forest_green,66,75,120,255,50,120
sea_green,76,85,80,200,80,180

peach,11,20,50,200,200,255
coral,21,25,100,255,150,255
salmon,26,30,80,200,150,255

plum,141,150,80,200,80,150
orchid,151,160,80,200,150,255

steel_blue,111,120,50,150,100,200
slate_blue,121,130,50,150,80,160
midnight_blue,131,140,100,255,20,80

khaki,36,45,40,120,150,200
mustard,26,35,120,255,120,200
rust,10,15,120,255,80,150

cyan_green,86,95,80,200,80,200
blue_green,96,105,80,200,80,200

neon_green,56,70,200,255,200,255
neon_pink,161,170,200,255,200,255
neon_blue,111,125,200,255,200,255

crimson,345,355,130,255,120,255
maroon,170,180,120,255,60,150


rose,150,165,70,200,160,255
hot_pink,165,175,100,255,170,255


amber,20,30,130,255,130,255
gold,30,40,130,255,160,255
peach,10,20,50,180,200,255
coral,15,25,100,255,160,255


lemon,35,45,130,255,180,255
lime,45,55,100,255,150,255


olive,55,65,80,200,80,150
forest_green,65,75,120,255,60,120
mint,75,85,60,180,180,255
sea_green,85,95,80,200,100,180


aqua,95,105,80,200,150,255
turquoise,100,110,80,200,120,255


sky_blue,105,115,60,180,180,255
royal_blue,115,125,120,255,100,255
navy,125,135,120,255,40,120
midnight_blue,130,140,120,255,20,80


indigo,135,145,120,255,80,200
lavender,145,155,50,150,180,255
plum,150,160,100,200,80,150


chocolate,20,30,120,255,40,100
coffee,25,35,120,255,30,80
rust,10,18,130,255,80,150
khaki,35,45,40,120,150,220


silver,0,180,0,30,180,220
dark_gray,0,180,0,40,40,80
ivory,0,180,0,30,230,255
snow,0,180,0,20,245,255


neon_red,0,10,200,255,200,255
neon_green,55,70,200,255,200,255
neon_blue,110,125,200,255,200,255
neon_pink,160,175,200,255,200,255
